Sentence,ESG-BERT Label,ESG-BERT Score,FinBERT Label,FinBERT Score,GPT Score
A website morphed from a place to swap Magic: The Gathering cards to a giant crypto exchange and then got massively hacked,Data_Security,0.434981525,Social,0.758278608,0.6
"Giddiness over BlackRock (the biggest asset manager in the world) and some of its peers trying to list bitcoin ETFs in the U.S. pushed up bitcoin's price last week, a bet that these easy-to-trade products will bring a flood of investment into BTC. ",Competitive_Behavior,0.385413945,None,0.269584537,0.3
"Also, CME Group, owner of the Chicago Mercantile Exchange, is close to overtaking Binance as the largest crypto derivatives exchange in the world.",Systemic_Risk_Management,0.648738921,None,0.4848575,0.2
"Whether bitcoin and crypto folks like it or not, TradFi is coming/is already here - though the degree of their involvement will hinge on regulators' desires, and they're clearly not psyched, judging, for instance, from the actions of the U.S. Securities and Exchange Commission and banking agencies.",Competitive_Behavior,0.359466434,None,0.637640238,0.6
"After Sam Bankman-Fried, Do Kwon and Alex Mashinsky showed what can happen when you trust crypto natives, are users prepared to trust different crypto shepherds? Or will they finally ditch the shepherds, as Satoshi might have hoped?",Competitive_Behavior,0.28266862,Social,0.520338356,0.3
"A powerful start to 2024 had the bulls predicting $100,000 bitcoin(BTC) at some point this year, but relentless selling pressure during April and June (interrupted by a May bounce) has the price struggling not to drop below $60,000 as the quarter draws to a close.",Systemic_Risk_Management,0.478889734,None,0.026121557,0.2
"Entering the second quarter, bitcoin was trading just shy of the $71,000 level and at press time (about 60 hours before Q2 officially closes) was changing hands at $60,800, a decline of more than 14%",Systemic_Risk_Management,0.843258917,None,0.0408535,0.1
"Helped by the tailwind of what now appears to be certain spot ETF approval, ether (ETH) outperformed, but was still in the red in the second quarter with about a 5% drop.",Systemic_Risk_Management,0.701143324,None,0.139470398,0.1
"Among the movers, Solana (SOL) tumbled 30%, Ripple's (XRP) dropped 23% and Dogecoin (DOGE) plunged 42%.",Systemic_Risk_Management,0.562511742,Environmental,0.897742391,0.2
"Bitcoin's disappointing second quarter price action, for now, can possibly be thought of as a correction within a larger bull move that saw the token rise nearly five-fold from January 2023 lows to a new all-time record above $73,500 in mid-March of this year.",Systemic_Risk_Management,0.583186507,None,0.008950949,0.2
"Anticipation of the spot bitcoin ETF approval, then the approval, and then the massive inflows into the new funds were surely major catalysts for the rise.",Systemic_Risk_Management,0.557044744,None,0.150846183,0.2
"June's drop, which reversed May's upswing, mainly occurred due to miner selling and concerns that ETF inflows represent non-directional arbitrage bets instead of outright bullish bets.",Competitive_Behavior,0.690112531,None,0.013874948,0.3
"Notably, the decline has pushed prices well below the widely tracked aggregate cost basis of short-term bitcoin holders, or wallets storing cost for 155 days or less. ",Competitive_Behavior,0.274210006,None,0.035254121,0.2
"As of writing, the aggregate cost basis for short-term holders was $65,000, according to data source LookIntoBitcoin.",Labor_Practices,0.358479083,Social,0.584330857,0
